team,season,salary,salary,salary,salary,salary
,,sum,count,mean,min,max
Denver Nuggets,2020,126841786,13,9757060.461538462,898310,30350000
Detroit Pistons,2000,15941000,5,3188200.0,2000000,4810000
Detroit Pistons,2001,30026000,11,2729636.3636363638,316000,5000000
Detroit Pistons,2002,41711000,15,2780733.3333333335,333000,7656000
Detroit Pistons,2003,41908000,12,3492333.3333333335,1100000,8421000
Detroit Pistons,2004,31662000,7,4523142.857142857,3300000,6166000
Detroit Pistons,2005,6000000,1,6000000.0,6000000,6000000
Detroit Pistons,2006,51908979,14,3707784.214285714,398762,10860000
Detroit Pistons,2007,57510718,14,4107908.4285714286,412718,11650000
Detroit Pistons,2008,58688830,12,4890735.833333333,427163,12540000
Detroit Pistons,2009,82134287,14,5866734.785714285,442114,20840625
Detroit Pistons,2010,62793827,16,3924614.1875,457588,11375000
Detroit Pistons,2011,64520650,14,4608617.857142857,736420,12500000
Detroit Pistons,2012,58868088,15,3924539.2,374300,11600000
Detroit Pistons,2013,57180235,17,3363543.2352941176,473604,10924138
Detroit Pistons,2014,61900253,15,4126683.533333333,490180,13500000
Detroit Pistons,2015,43963633,14,3140259.5,269189,8000000
Detroit Pistons,2016,55343307,16,3458956.6875,600000,13913044
Detroit Pistons,2017,105445268,19,5549750.947368421,543471,22116750
Detroit Pistons,2018,103989792,20,5199489.6,543471,25434263
Detroit Pistons,2019,115162686,14,8225906.142857143,838464,32088932
Detroit Pistons,2020,135926827,18,7551490.388888889,1416852,34449964
Fenerbahce Ulker Fenerbahce Ulker,2012,2685185,1,2685185.0,2685185,2685185
Fenerbahce Ulker Fenerbahce Ulker,2013,3447380,2,1723690.0,762195,2685185
Golden State Warriors,2000,27678000,7,3954000.0,2503000,5250000
Golden State Warriors,2001,32747000,13,2519000.0,32000,5611000
Golden State Warriors,2002,43517000,13,3347461.5384615385,333000,6235000
Golden State Warriors,2003,34823000,9,3869222.222222222,512000,6858000
Golden State Warriors,2004,31413000,6,5235500.0,1507000,10912000
Golden State Warriors,2005,10103000,4,2525750.0,2232000,3000000
Golden State Warriors,2006,56958952,13,4381457.846153846,423762,13700000
Golden State Warriors,2007,44402678,11,4036607.090909091,259770,15070000
Golden State Warriors,2008,55126427,16,3445401.6875,251272,16440000
Golden State Warriors,2009,55335384,18,3074188.0,422725,11000000
Golden State Warriors,2010,47337369,16,2958585.5625,17328,11000000
Golden State Warriors,2011,60622481,18,3367915.611111111,133723,11000000
Golden State Warriors,2012,52057320,21,2478920.0,75793,11610000
Golden State Warriors,2013,79686708,23,3464639.4782608696,75793,13000000
Golden State Warriors,2014,66621552,13,5124734.769230769,490180,14000000
Golden State Warriors,2015,74947574,18,4163754.111111111,167122,15012000
Golden State Warriors,2016,89816273,16,5613517.0625,289755,15501000
Golden State Warriors,2017,103796670,22,4718030.454545454,543471,26540100
Golden State Warriors,2018,124899980,26,4803845.384615385,543471,37457154
Golden State Warriors,2019,144354753,15,9623650.2,307648,37457154
Golden State Warriors,2020,106010951,13,8154688.538461538,350189,40231758
Houston Rockets,2000,9593000,4,2398250.0,823000,3750000
Houston Rockets,2001,42631000,13,3279307.6923076925,83000,16685000
Houston Rockets,2002,40191000,14,2870785.714285714,333000,8800000
Houston Rockets,2003,41705000,10,4170500.0,512000,9200000
Houston Rockets,2004,32939000,6,5489833.333333333,2102000,7800000
Houston Rockets,2005,40070000,3,13356666.666666666,5899000,19684000
Houston Rockets,2006,55617306,14,3972664.714285714,248118,15694250
Houston Rockets,2007,62915549,15,4194369.933333334,600000,16901500
Houston Rockets,2008,73775040,20,3688752.0,100509,18257750
Houston Rockets,2009,66047420,15,4403161.333333333,184157,20370437
Houston Rockets,2010,49756513,13,3827424.076923077,725000,16378325
Houston Rockets,2011,59565763,14,4254697.357142857,15000,17686100
Houston Rockets,2012,53326872,18,2962604.0,57291,11519840
Houston Rockets,2013,41633543,21,1982549.6666666667,144867,8374646
Houston Rockets,2014,61240347,18,3402241.5,13958,20513178
Houston Rockets,2015,65995129,14,4713937.785714285,507336,21436271
Houston Rockets,2016,75808114,16,4738007.125,200600,22359364
Houston Rockets,2017,83497163,16,5218572.6875,255000,26540100
Houston Rockets,2018,121962746,22,5543761.181818182,4608,28299399
Houston Rockets,2019,129028208,16,8064263.0,23685,35654150
Houston Rockets,2020,136992972,17,8058410.117647059,563347,38506482
Indiana Pacers,2000,16356000,6,2726000.0,745000,4800000
Indiana Pacers,2001,48552000,13,3734769.230769231,498000,10666000
Indiana Pacers,2002,59381000,18,3298944.4444444445,333000,12045000
Indiana Pacers,2003,52087000,13,4006692.3076923075,512000,12046000
Indiana Pacers,2004,23861000,7,3408714.285714286,861000,7610000
Indiana Pacers,2005,15606000,3,5202000.0,1554000,8260000
Indiana Pacers,2006,65601708,13,5046285.230769231,835810,16440000
Indiana Pacers,2007,81585398,20,4079269.9,664209,18084000
Indiana Pacers,2008,66595936,16,4162246.0,213051,19728000
Indiana Pacers,2009,61716439,15,4114429.2666666666,711517,10126984
Indiana Pacers,2010,59933873,14,4280990.928571428,457588,11047619
Indiana Pacers,2011,59588621,15,3972574.7333333334,750000,10973202
Indiana Pacers,2012,52658055,16,3291128.4375,435000,12015904
Indiana Pacers,2013,84621815,22,3846446.1363636362,402065,13668750
Indiana Pacers,2014,56110617,13,4316201.307692308,884293,14283844
Indiana Pacers,2015,74810552,15,4987370.133333334,507336,15937290
Indiana Pacers,2016,67699102,16,4231193.875,211744,17120106
Indiana Pacers,2017,90659552,17,5332914.823529412,650000,18314532
Indiana Pacers,2018,110080138,18,6115563.222222222,980431,21000000
Indiana Pacers,2019,100197688,14,7156977.714285715,838464,21000000
Indiana Pacers,2020,137759737,19,7250512.47368421,1378242,21000000
LA Clippers,2002,27690000,14,1977857.142857143,541000,4662000
LA Clippers,2003,25449000,9,2827666.6666666665,824000,6061000
LA Clippers,2004,23526000,6,3921000.0,639000,9600000
LA Clippers,2005,12086000,2,6043000.0,2269000,9817000
LA Clippers,2006,70143654,15,4676243.6,398762,15750000
LA Clippers,2007,65903388,16,4118961.75,23443,14248000
LA Clippers,2008,61266474,19,3224551.263157895,125636,15344000
LA Clippers,2009,55446274,17,3261545.529411765,459782,11250000
LA Clippers,2010,57304611,16,3581538.1875,736420,12100000
LA Clippers,2011,79049723,22,3593169.227272727,211084,14000000
LA Clippers,2012,82281543,23,3577458.3913043477,156595,16359805
LA Clippers,2013,83552720,20,4177636.0,48232,18668431
LA Clippers,2014,74627321,14,5330522.928571428,249683,18668431
LA Clippers,2015,84225763,19,4432934.894736842,107676,20068563
LA Clippers,2016,87167337,16,5447958.5625,111444,21468695
LA Clippers,2017,114307499,16,7144218.6875,543471,22868827
LA Clippers,2018,161175002,21,7675000.095238095,375000,32088932
LA Clippers,2019,79234904,12,6602908.666666667,1349383,21587579
LA Clippers,2020,139406269,17,8200368.764705882,512721,32742000
Los Angeles Clippers,2000,11460000,5,2292000.0,843000,3456000
Los Angeles Clippers,2001,23487000,12,1957250.0,316000,3697000
Los Angeles Lakers,2000,40565000,7,5795000.0,790000,17142000
Los Angeles Lakers,2001,57600000,12,4800000.0,707000,19285000
Los Angeles Lakers,2002,52650000,13,4050000.0,465000,21428000
Los Angeles Lakers,2003,57455000,10,5745500.0,817000,23571000
Los Angeles Lakers,2004,52767000,6,8794500.0,2244000,26571000
Los Angeles Lakers,2005,35956000,4,8989000.0,3785000,14625000
Los Angeles Lakers,2006,56530550,15,3768703.3333333335,398762,15946875
Los Angeles Lakers,2007,62251869,15,4150124.6,664209,17718750
Los Angeles Lakers,2008,56137821,13,4318293.923076923,90660,19490625
Los Angeles Lakers,2009,76586593,14,5470470.928571428,442114,21262500
Los Angeles Lakers,2010,92077486,14,6576963.285714285,736420,23034375
Los Angeles Lakers,2011,90263787,14,6447413.357142857,473604,24806250
Los Angeles Lakers,2012,95363673,20,4768183.65,473604,25244493
Los Angeles Lakers,2013,86424427,18,4801357.055555556,473604,30453805
Los Angeles Lakers,2014,78858550,16,4928659.375,490180,30453805
Los Angeles Lakers,2015,71083322,18,3949073.4444444445,59686,23500000
Los Angeles Lakers,2016,73665676,18,4092537.5555555555,525093,25000000
Los Angeles Lakers,2017,104892636,23,4560549.391304348,73528,18000000
Los Angeles Lakers,2018,121307747,23,5274249.869565218,13824,22642650
Los Angeles Lakers,2019,92404906,17,5435582.705882353,52108,35654150
Los Angeles Lakers,2020,133141878,18,7396771.0,384541,37436858
Maccabi Haifa Maccabi Haifa,2015,816482,1,816482.0,816482,816482
Maccabi Haifa Maccabi Haifa,2018,2286997,2,1143498.5,815615,1471382
Madrid Real Madrid,2008,1511243,2,755621.5,427163,1084080
